Rnum,Run,motion,counter,Task
R4507,2,0.0205229,2.424661,WM
R4507,2,0.0199981,0.0,WM
R4507,2,0.0560397,2.424662,WM
R4507,2,0.0307935,0.0,WM
R4507,2,0.0273857,2.624976,WM
R4507,2,0.0284601,5.299794,WM
R4507,2,0.0284601,7.774651,WM
R4507,2,0.0185324,0.0,WM
R4507,2,0.0491063,2.724817,WM
R4507,2,0.0324011,0.0,WM
R4507,2,0.0543106,2.424941,WM
R4507,2,0.0170773,0.0,WM
R4507,2,0.0157794,2.324845,WM
R4507,2,0.0455656,0.0,WM
R4236,4,0.0592811,0.0,WM
R4236,4,0.0209535,2.377007,WM
R4236,4,0.0283931,0.0,WM
R4236,4,0.0465689,2.435391,WM
R4236,4,0.0362354,0.0,WM
R4236,4,0.0132972,2.477137,WM
R4236,4,0.0434414,0.0,WM
R4236,4,0.041023,2.476592,WM
R4236,4,0.0158926,5.103579,WM
R4236,4,0.0343976,7.780450999999999,WM
R4236,4,0.0272373,0.0,WM
R4236,4,0.0480184,2.776985,WM
R4236,4,0.0302212,0.0,WM
R4236,4,0.0247815,2.835851,WM
R4236,4,0.0225136,0.0,WM
R4236,4,0.0263075,2.426679,WM
R4236,4,0.0455343,0.0,WM
R4236,4,0.0896609,2.4767,WM
R4119,2,0.0352002,0.0,WM
R4119,2,0.0527701,2.875274,WM
R4119,2,0.0223855,0.0,WM
R4119,2,0.0427147,2.474456,WM
R4119,2,0.0217223,5.299662,WM
R4119,2,0.0251065,0.0,WM
R4119,2,0.0179123,2.325085,WM
R4119,2,0.0343601,0.0,WM
R4119,2,0.156946,2.7748809999999997,WM
R4119,2,0.0607722,0.0,WM
R4119,2,0.0607722,2.575075,WM
R4119,2,0.0122997,0.0,WM
R4119,2,0.0410549,2.6750689999999997,WM
R4119,2,0.0547079,5.099672,WM
R4119,2,0.0411335,0.0,WM
R4119,2,0.0293609,2.5750319999999998,WM
R4119,2,0.028581,0.0,WM
R4119,2,0.033953,2.6249409999999997,WM
R3557,2,0.00809491,0.0,WM
R3557,2,0.0255109,2.527017,WM
R3557,2,0.013629,0.0,WM
R3557,2,0.0135933,2.826981,WM
R3557,2,0.01339,5.4536739999999995,WM
R3557,2,0.0173546,0.0,WM
R3557,2,0.0186288,2.727278,WM
R3557,2,0.0303216,5.512548,WM
R3557,2,0.0174241,0.0,WM
R3557,2,0.014747,2.585572,WM
R3557,2,0.0312252,0.0,WM
R3557,2,0.0312252,2.427059,WM
R3557,2,0.0301087,0.0,WM
R3557,2,0.012292,2.334869,WM
R3557,2,0.0457769,0.0,WM
R3557,2,0.0426352,2.277685,WM
R3557,2,0.0371777,0.0,WM
R4140,3,0.0325673,0.0,WM
R4140,3,0.0277281,2.385478,WM
R4140,3,0.0441019,0.0,WM
R4140,3,0.0833739,2.42661,WM
R4140,3,0.0455624,0.0,WM
R4140,3,0.0328373,2.676943,WM
R4140,3,0.0249052,0.0,WM
R4140,3,0.0190994,2.727425,WM
R4140,3,0.0311441,5.1541060000000005,WM
R4140,3,0.0154465,0.0,WM
R4140,3,0.0243984,2.47712,WM
R4140,3,0.0243984,5.304177,WM
R4140,3,0.025496,7.839173,WM
R4140,3,0.0299394,0.0,WM
R4140,3,0.0299394,2.785358,WM
R4140,3,0.033643,5.312037,WM
R4140,3,0.0314553,0.0,WM
R4140,3,0.0339327,2.426584,WM
R4140,3,0.0136636,0.0,WM
R4140,3,0.0269001,2.535087,WM
R4659,3,0.0166534,0.0,WM
R4659,3,0.059807,2.674779,WM
R4659,3,0.0356846,0.0,WM
R4659,3,0.0343435,2.674797,WM
R4659,3,0.144496,5.299715,WM
R4659,3,0.0222154,0.0,WM
R4659,3,0.0343461,2.524694,WM
R4659,3,0.0616473,4.999747,WM
R4659,3,0.0355065,0.0,WM
R4659,3,0.0355065,2.524825,WM
R4659,3,0.025028,0.0,WM
R4659,3,0.025028,2.675285,WM
R4659,3,0.013601,4.799869,WM
R4659,3,0.0526565,0.0,WM
R4659,3,0.0456622,2.67496,WM
R4659,3,0.0925507,0.0,WM
R4659,3,0.056871,2.474794,WM
R4659,3,0.0375252,0.0,WM
R4007,3,0.03085,0.0,WM
R4007,3,0.0271602,2.527234,WM
R4007,3,0.0259902,0.0,WM
R4007,3,0.0217544,2.635266,WM
R4007,3,0.0238103,0.0,WM
R4007,3,0.0286229,2.677407,WM
R4007,3,0.0216364,0.0,WM
R4007,3,0.021599,2.2769690000000002,WM
R4007,3,0.0309901,0.0,WM
R4007,3,0.0309901,2.626783,WM
R4007,3,0.0328674,0.0,WM
R4007,3,0.0328674,2.37656,WM
R4007,3,0.012129,5.111909,WM
R4007,3,0.0215259,0.0,WM
R4007,3,0.0114234,2.635151,WM
R4007,3,0.0245364,0.0,WM
R4007,3,0.0245364,2.326593,WM
R4071,2,0.125579,0.0,WM
R4071,2,0.0122596,2.8251049999999998,WM
R4071,2,0.0136188,5.299734,WM
R4071,2,0.0541871,0.0,WM
R4071,2,0.0457367,2.524494,WM
R4071,2,0.00993124,4.999378,WM
R4071,2,0.0351519,7.224451,WM
R4071,2,0.058264,0.0,WM
R4071,2,0.0115904,2.5750409999999997,WM
R4071,2,0.0538474,0.0,WM
R4071,2,0.0538474,2.324843,WM
R4071,2,0.0564706,4.699823,WM
R4071,2,0.0316447,7.224869,WM
R4071,2,0.0468908,0.0,WM
R4071,2,0.0308643,2.774809,WM
R4071,2,0.0298139,0.0,WM
R4071,2,0.0278105,2.525184,WM
R4071,2,0.0398019,0.0,WM
R4071,2,0.0237423,2.674711,WM
R4071,2,0.0237423,5.449711,WM
R4071,2,0.0292326,0.0,WM
R4071,2,0.0282362,2.3245839999999998,WM
R4132,2,0.0340252,0.0,WM
R4132,2,0.060664,2.474947,WM
