Rnum,Run,motion,counter,Task
R4211,3,0.0851664,2.725102,CRT
R4211,3,0.11425,0.0,CRT
R4211,3,0.115724,2.775121,CRT
R4131,4,0.030378,0.0,CRT
R4131,4,0.054167,2.626778,CRT
R4131,4,0.0580463,5.0534490000000005,CRT
R4131,4,0.0466682,7.780339,CRT
R4131,4,0.0164225,0.0,CRT
R4131,4,0.0371962,2.3765799999999997,CRT
R4131,4,0.064481,0.0,CRT
R4131,4,0.0228204,2.6770169999999998,CRT
R4131,4,0.0793178,0.0,CRT
R4131,4,0.0509322,2.426542,CRT
R4131,4,0.0202137,0.0,CRT
R4131,4,0.0202137,2.5268479999999998,CRT
R4131,4,0.107711,0.0,CRT
R4131,4,0.107711,2.5266669999999998,CRT
R4131,4,0.15008,5.203564999999999,CRT
R4131,4,0.109072,0.0,CRT
R4131,4,0.0871313,2.6768389999999997,CRT
R4131,4,0.0683104,5.153467,CRT
R4131,4,0.0838751,0.0,CRT
R4131,4,0.110953,2.576822,CRT
R4220,1,0.020262,0.0,CRT
R4220,1,0.0310706,2.627238,CRT
R4220,1,0.0587909,5.412559,CRT
R4220,1,0.0314849,0.0,CRT
R4220,1,0.0334595,2.6769350000000003,CRT
R4220,1,0.0230794,0.0,CRT
R4220,1,0.0106474,2.276943,CRT
R4220,1,0.0485108,4.76199,CRT
R4220,1,0.0485108,7.1386330000000005,CRT
R4220,1,0.017738,0.0,CRT
R4220,1,0.0164195,2.477134,CRT
R4220,1,0.0170043,0.0,CRT
R4220,1,0.0281443,2.377045,CRT
R4220,1,0.0573006,0.0,CRT
R4220,1,0.0566785,2.685302,CRT
R4220,1,0.0189021,0.0,CRT
R4220,1,0.0407989,2.635491,CRT
R4220,1,0.0370594,0.0,CRT
R4220,1,0.0544515,2.426676,CRT
R4047,3,0.0770103,0.0,CRT
R4047,3,0.0601654,2.4770790000000003,CRT
R4047,3,0.0477472,0.0,CRT
R4047,3,0.0477472,2.377114,CRT
R4047,3,0.0317822,0.0,CRT
R4047,3,0.0188667,2.3855250000000003,CRT
R4047,3,0.028352,4.970652,CRT
R4047,3,0.0559854,7.505723,CRT
R4047,3,0.047157,0.0,CRT
R4047,3,0.0440871,2.485458,CRT
R4047,3,0.0414077,0.0,CRT
R4047,3,0.0369059,2.735568,CRT
R4047,3,0.0369059,5.5209399999999995,CRT
R4047,3,0.0929266,0.0,CRT
R4047,3,0.0929266,2.777528,CRT
R4047,3,0.0874442,0.0,CRT
R4047,3,0.0196638,2.835386,CRT
R4047,3,0.0273573,0.0,CRT
R4047,3,0.0273573,2.477144,CRT
R4047,3,0.0319782,4.703219000000001,CRT
R4239,1,0.030789,0.0,CRT
R4239,1,0.0247083,2.435475,CRT
R4239,1,0.0164014,0.0,CRT
R4239,1,0.0145752,2.685072,CRT
R4239,1,0.0163505,5.220231,CRT
R4239,1,0.0193991,7.897023989999999,CRT
R4239,1,0.0295609,0.0,CRT
R4239,1,0.0221253,2.776801,CRT
R4239,1,0.0152644,0.0,CRT
R4239,1,0.0338857,2.727049,CRT
R4239,1,0.0261694,5.45417999,CRT
R4239,1,0.028129,7.88093299,CRT
R4239,1,0.0212765,0.0,CRT
R4239,1,0.0306985,2.635015,CRT
R4239,1,0.0241234,5.412018,CRT
R4239,1,0.0132157,0.0,CRT
R4239,1,0.0121448,2.63514699,CRT
R4239,1,0.0268926,5.31192099,CRT
R4239,1,0.0112244,0.0,CRT
R4239,1,0.0112244,2.777415,CRT
R4239,1,0.0149363,5.512608999999999,CRT
R4239,1,0.014336,0.0,CRT
R4239,1,0.0182774,2.47673099,CRT
R4165,2,0.0548695,0.0,CRT
R4165,2,0.0548695,2.476636,CRT
R4165,2,0.0964606,4.853358,CRT
R4165,2,0.0522513,7.5302109999999995,CRT
R4165,2,0.0537487,0.0,CRT
R4165,2,0.224386,2.426546,CRT
R4165,2,0.0942923,5.003449,CRT
R4165,2,0.162539,7.580125000000001,CRT
R4165,2,0.0389543,0.0,CRT
R4165,2,0.130009,2.376732,CRT
R4165,2,0.0596931,0.0,CRT
R4165,2,0.108443,2.585196,CRT
R4165,2,0.108443,5.512239,CRT
R4165,2,0.260902,0.0,CRT
R4165,2,0.120656,2.626872,CRT
R4165,2,0.120656,5.262086,CRT
R4165,2,0.0305754,0.0,CRT
R4165,2,0.0332133,2.526748,CRT
R4165,2,0.13688,0.0,CRT
R4165,2,0.163123,2.685225,CRT
R4165,2,0.0593703,0.0,CRT
R4165,2,0.0593703,2.226491,CRT
R4165,2,0.291822,4.803380000000001,CRT
R4131,1,0.0401597,0.0,CRT
R4131,1,0.0594542,2.226372,CRT
R4131,1,0.0275414,0.0,CRT
R4131,1,0.0780904,2.6768,CRT
R4131,1,0.0605896,5.253690000000001,CRT
R4131,1,0.0598038,0.0,CRT
R4131,1,0.0320564,2.676949,CRT
R4131,1,0.0232603,0.0,CRT
R4131,1,0.0495287,2.626809,CRT
R4131,1,0.0179608,0.0,CRT
R4131,1,0.0115222,2.676838,CRT
R4131,1,0.0196067,5.453766,CRT
R4131,1,0.0113692,8.230739,CRT
R4131,1,0.238097,0.0,CRT
R4131,1,0.091913,2.526814,CRT
R4131,1,0.091913,5.103603,CRT
R4131,1,0.0388087,7.480107,CRT
R4131,1,0.0943534,0.0,CRT
R4131,1,0.0798903,2.4267000000000003,CRT
R4131,1,0.0560335,0.0,CRT
R4140,1,0.0436402,0.0,CRT
R4140,1,0.00709021,2.527142,CRT
R4140,1,0.0149819,0.0,CRT
R4140,1,0.0271843,2.334918,CRT
R4140,1,0.0500635,0.0,CRT
R4140,1,0.0412259,2.535089,CRT
R4140,1,0.0266008,0.0,CRT
R4140,1,0.0266008,2.435047,CRT
R4140,1,0.0462252,0.0,CRT
R4140,1,0.0462252,2.785841,CRT
R4140,1,0.0288871,5.3125990000000005,CRT
R4140,1,0.0410063,0.0,CRT
R4140,1,0.0232334,2.827381,CRT
R4140,1,0.00833369,0.0,CRT
R4140,1,0.0230387,2.276968,CRT
R4140,1,0.0125642,5.012293,CRT
R4140,1,0.0250676,0.0,CRT
R4661,1,0.0148209,0.0,CRT
R4661,1,0.0317262,2.8750229999999997,CRT
R4661,1,0.084091,0.0,CRT
R4661,1,0.0423862,2.524972,CRT
R4661,1,0.0274827,5.00004,CRT
R4661,1,0.0514415,0.0,CRT
R4661,1,0.0514415,2.4249129999999997,CRT
R4661,1,0.0406415,4.949743,CRT
R4661,1,0.0295008,7.474644,CRT
R4661,1,0.0188128,0.0,CRT
R4661,1,0.0455768,2.624773,CRT
R4661,1,0.0380138,5.499942,CRT
R4661,1,0.0957279,0.0,CRT
R4661,1,0.0980677,2.72489,CRT
R4661,1,0.0753403,5.349667,CRT
R4661,1,0.0881008,8.074886,CRT
R4661,1,0.0530878,0.0,CRT
R4661,1,0.107995,2.7251689999999997,CRT
R4661,1,0.0926056,0.0,CRT
R4661,1,0.0199183,2.675058,CRT
R4661,1,0.116812,0.0,CRT
R4661,1,0.0684995,2.8249549999999997,CRT
R4302,4,0.0164282,0.0,CRT
R4302,4,0.0253689,2.485603,CRT
R4302,4,0.0417203,0.0,CRT
R4302,4,0.052945,2.935854,CRT
R4302,4,0.0166012,0.0,CRT
R4302,4,0.0956687,2.334897,CRT
R4302,4,0.0786468,5.270384999999999,CRT
R4302,4,0.0216603,0.0,CRT
R4302,4,0.0216603,2.527253,CRT
R4302,4,0.0356738,4.903798,CRT
R4302,4,0.0214702,7.589084,CRT
R4302,4,0.182634,0.0,CRT
