unique_ID,IDNO,RNUM,RUN,stimType,mwType,nBack,keyResp,fixT,stimT,stimPic,Ans,fixStart_offset,stimStart_offset,Correct
1229,3,R2595,R1,NT,NT,1,None,1.65,1.15,Stimuli/nB_N_circle_triangle.png,None,88.394862,91.222027,True
1230,3,R2595,R1,TT,TT,1,right,1.6,2.25,Stimuli/nB_T_TRIANGLE.png,right,91.23014,92.847918,True
1231,3,R2595,R1,NT,NT,1,None,1.3,1.15,Stimuli/nB_N_triangle_square.png,None,95.116159,97.584783,True
1232,3,R2595,R1,NT,NT,1,None,1.4,0.95,Stimuli/nB_N_circle_triangle.png,None,97.592813,99.961351,True
1246,3,R2595,R1,NT,NT,1,None,1.7,1.1,Stimuli/nB_N_circle_square.png,None,166.49867,169.325679,True
1247,3,R2595,R1,NT,NT,1,None,1.6,1.15,Stimuli/nB_N_circle_triangle.png,None,169.334203,172.103023,True
1248,3,R2595,R1,NT,NT,1,None,1.45,1.1,Stimuli/nB_N_circle_square.png,None,172.111126,174.679803,True
1249,3,R2595,R1,TT,TT,1,right,1.4,2.3,Stimuli/nB_T_SQUARE.png,right,174.687907,176.113899,True
1250,3,R2595,R1,NT,NT,1,None,1.55,0.85,Stimuli/nB_N_triangle_square.png,None,178.432173,180.859048,True
1251,3,R2595,R1,NT,NT,1,None,1.45,1.15,Stimuli/nB_N_circle_square.png,None,180.867181,183.494231,True
1265,3,R2595,R1,NT,NT,1,None,1.65,0.9,Stimuli/nB_N_triangle_circle.png,None,250.031717,252.608244,True
1266,3,R2595,R1,NT,NT,1,None,1.55,1.2,Stimuli/nB_N_square_circle.png,None,252.616759,255.385685,True
1267,3,R2595,R1,TT,TT,1,left,1.3,2.2,Stimuli/nB_T_SQUARE.png,left,255.393708,256.71133,True
1268,3,R2595,R1,NT,NT,1,None,1.5,1.15,Stimuli/nB_N_triangle_square.png,None,258.929548,261.598311,True
1410,3,R2595,R2,NT,NT,1,None,1.45,1.05,Stimuli/nB_N_circle_triangle.png,None,204.800348,207.326879,True
1411,3,R2595,R2,NT,NT,1,None,1.7,1.0,Stimuli/nB_N_circle_square.png,None,207.335401,210.062466,True
1412,3,R2595,R2,NT,NT,1,None,1.55,1.2,Stimuli/nB_N_square_triangle.png,None,210.070626,212.847821,True
1413,3,R2595,R2,NT,NT,1,None,1.35,0.85,Stimuli/nB_N_circle_square.png,None,212.855899,215.074206,True
1427,3,R2595,R2,NT,NT,1,None,1.55,0.95,Stimuli/nB_N_square_triangle.png,None,281.419951,283.946505,True
