unique_ID,IDNO,RNUM,RUN,stimType,mwType,nBack,keyResp,fixStart_offset,stimStart_offset,actual_RT,Probe,MW_onsets,duration,MVPA_weight,Task_PC,Detail_PC,Modality_PC,Emotion_PC
7659,14,R4275,R3,MWQ,Focus,0,3,456.158242,457.534202,1.176683,6,451.534202,6,1,0.037,1.578,0.104,0.422
7716,14,R4275,R4,MWQ,Focus,0,2,43.246933,44.922701,0.743724,1,38.922701,6,1,-1.284,0.626,-0.023,1.418
7731,14,R4275,R4,MWQ,Focus,0,None,115.105114,116.731215,,2,110.731215,6,1,-1.019,0.787,0.237,0.798
7906,16,R4307,R1,MWQ,Focus,0,2,213.323237,214.941049,0.067797,3,208.941049,6,1,-1.218,0.234,0.984,-0.599
7922,16,R4307,R1,MWQ,Focus,0,1,287.691474,289.159187,0.859921,4,283.159187,6,1,-1.381,0.047,0.025,1.607
7940,16,R4307,R1,MWQ,Focus,0,2,367.780356,369.406557,0.91003,5,363.406557,6,1,-0.408,0.69,-0.174,-0.038
7966,16,R4307,R1,MWQ,Focus,0,1,471.63575,473.003369,0.818162,6,467.003369,6,1,-0.73,-0.455,0.343,2.185
8008,16,R4307,R2,MWQ,Focus,0,3,13.618054,15.243934,0.001383,1,9.243934,6,1,-0.551,0.616,0.009,-0.404
8023,16,R4307,R2,MWQ,Focus,0,1,85.176023,86.543666,0.834831,2,80.543666,6,1,-1.043,1.576,-0.135,-0.639
8038,16,R4307,R2,MWQ,Focus,0,1,156.608833,157.976537,0.517934,3,151.976537,6,1,-0.85,-0.192,0.106,0.543
8053,16,R4307,R2,MWQ,Focus,0,2,228.558805,230.026504,0.476657,4,224.026504,6,1,-0.714,-0.173,0.214,0.192
8068,16,R4307,R2,MWQ,Focus,0,1,300.600361,302.176506,0.759585,5,296.176506,6,1,-0.948,-0.155,0.597,0.76
8160,16,R4307,R3,MWQ,Focus,0,4,17.345507,18.77122,-0.065323,1,12.77122,6,1,0.101,-0.537,-0.434,-0.385
8182,16,R4307,R3,MWQ,Focus,0,2,110.118234,111.585936,1.31867,2,105.585936,6,1,-1.084,-0.051,-0.641,-0.259
8363,16,R4307,R4,MWQ,Focus,0,2,224.989611,226.315573,-0.182609,3,220.315573,6,1,-1.357,-0.767,-1.102,0.395
8389,16,R4307,R4,MWQ,Focus,0,1,328.995028,330.412743,0.859889,4,324.412743,6,1,-1.789,-0.253,0.069,1.824
8404,16,R4307,R4,MWQ,Focus,0,1,400.286158,401.853928,0.309639,5,395.853928,6,1,-0.86,-0.067,-0.418,0.663
8419,16,R4307,R4,MWQ,Focus,0,1,472.277793,473.803824,0.176154,6,467.803824,6,1,-0.605,-2.468,0.453,-0.881
8462,17,R4220,R1,MWQ,Focus,0,4,17.19548,18.82132,1.652556,1,12.82132,6,1,0.392,0.012,-0.875,-0.095
8479,17,R4220,R1,MWQ,Focus,0,4,93.548376,95.074502,0.734858,2,89.074502,6,1,0.905,0.438,-0.315,-0.095
8494,17,R4220,R1,MWQ,Focus,0,3,165.348203,166.774219,1.527017,3,160.774219,6,1,0.758,-0.372,0.358,-1.026
8512,17,R4220,R1,MWQ,Focus,0,3,245.253555,246.821412,1.018453,4,240.821412,6,1,-0.524,-0.28,-0.934,-0.687
