unique_ID,RNUM,counter,Task,Detail,Modality,Emotion
19103,R4482,2.474751,-1.133,1.209,-0.939,-0.789
19124,R4482,7.324617,-0.323,1.079,0.038,-0.422
19140,R4482,5.650209,-0.854,1.259,-0.689,0.385
19193,R4482,4.899474,-1.417,1.562,-1.14,-1.119
19208,R4482,2.524744,-1.394,1.447,-1.267,-1.016
19224,R4482,4.949667,-1.191,1.306,-1.451,-0.754
19379,R4507,2.674722,1.395,0.331,-0.807,-0.714
19399,R4507,4.750003,-0.705,0.055,0.408,0.477
19414,R4507,2.575129,-0.5,-0.925,0.69,0.188
19432,R4507,2.774793,-0.516,0.015,0.394,-1.063
19483,R4507,2.424661,-0.393,0.489,0.251,0.132
19503,R4507,7.774651,-0.03,-0.454,0.782,0.806
19518,R4507,2.724817,-0.836,0.339,0.526,-0.432
19533,R4507,2.424941,-1.447,-0.976,0.608,-0.392
19701,R4507,2.424742,-0.21,0.461,-0.212,-0.452
19719,R4507,2.874912,-0.411,-1.264,0.239,1.842
19741,R4507,5.199789,-0.92,0.673,0.732,-0.519
19782,R4507,2.224436,-0.296,-0.359,-0.687,1.102
20001,R4508,2.574944,0.434,-0.338,0.436,2.012
20021,R4508,2.674898,0.396,-1.52,-1.061,0.461
20043,R4508,2.424994,-0.402,0.192,-0.405,0.391
20142,R4508,2.67497,-0.621,-1.142,0.163,1.624
20162,R4508,7.374541,-0.708,-0.127,1.695,0.478
20178,R4508,5.449708,2.067,0.366,-1.157,0.998
20194,R4508,4.999442,2.001,1.166,-0.88,0.212
20241,R4508,7.724918,1.771,-1.29,-1.385,1.065
20256,R4508,2.374861,2.026,-0.934,-1.089,0.849
20282,R4508,2.374813,0.479,0.615,0.107,1.582
20627,R4211,5.649835,1.006,1.295,0.654,0.578
20646,R4211,5.099539,0.748,1.665,0.731,0.093
20747,R4211,2.675047,0.075,2.56,-0.856,-1.557
20763,R4211,5.199679,0.884,2.31,-0.179,-0.566
20779,R4211,5.04979,0.837,2.362,0.992,0.067
20798,R4211,5.099873,-1.156,1.275,2.181,1.444
20843,R4211,5.199637,0.264,1.184,2.25,1.088
20861,R4211,2.47492,0.271,1.651,0.817,-0.139
20992,R4211,7.674862,-0.84,2.555,0.203,-1.79
21018,R4211,2.474859,-1.554,1.9,-1.853,-1.505
21033,R4211,2.624888,0.082,1.294,0.68,1.314
21181,R4087,4.549603,1.406,-0.067,0.453,0.507
21197,R4087,5.449791,1.614,-0.169,0.097,0.542
21215,R4087,2.274828,0.905,-1.301,0.411,-0.614
21230,R4087,2.574732,1.031,-1.837,0.089,-0.19
21253,R4087,4.758,0.373,-0.755,0.235,0.382
21292,R4087,2.875067,0.429,-1.205,0.052,0.617
21322,R4087,4.949713,0.295,-1.077,0.923,-0.196
21337,R4087,2.674884,-0.459,-0.726,0.733,0.537
21502,R4087,2.725081,0.257,-0.49,2.193,0.653
21522,R4087,2.675094,-0.138,-1.375,1.793,1.061
21537,R4087,2.475081,-0.831,-0.276,-1.976,0.228
21552,R4087,2.575276,0.24,-1.789,0.647,0.259
21610,R4087,7.124616,0.572,-0.992,-0.334,-0.3
21626,R4087,5.300133,-0.783,-0.101,-0.054,-0.813
21762,R4071,7.524883,2.019,-0.641,0.489,0.309
